individual_id,id,latitude,longitude,individual,individual patronym,inscription,start date,end date,Roles
306,Chios Ins.,38.3737,26.1374,Athenaios,,D049,-200,-1,mystes
124,Chios Ins.,38.3737,26.1374,Dionysios,Dionysiou tou Dionysiou,D009,-200,-101,proxenos
343,Chios Ins.,38.3737,26.1374,Gorgias,,D049,-200,-1,mystes
327,Chios Ins.,38.3737,26.1374,Demonax,,D049,-200,-1,mystes
380,Chios Ins.,38.3737,26.1374,Athenion,,D049,-200,-1,epoptai
119,Chios Ins.,38.3737,26.1374,Diophantos,Demetriou,D009,-200,-101,proxenos
129,Chios Ins.,38.3737,26.1374,Gorgias,Aristonos,D009,-200,-101,theoros
121,Chios Ins.,38.3737,26.1374,M[….],Antipatrou,D009,-200,-101,theoros
338,Chios Ins.,38.3737,26.1374,Theophanes,,D049,-200,-1,mystes
322,Chios Ins.,38.3737,26.1374,Timesipolis,,D049,-200,-1,mystes
375,Chios Ins.,38.3737,26.1374,Herak[les?],,D049,-200,-1,mystes
359,Chios Ins.,38.3737,26.1374,Herakleon,,D049,-200,-1,mystes
349,Chios Ins.,38.3737,26.1374,[……..]des,,D049,-200,-1,mystes
333,Chios Ins.,38.3737,26.1374,Noumenios,,D049,-200,-1,mystes
317,Chios Ins.,38.3737,26.1374,Menon,,D049,-200,-1,mystes
370,Chios Ins.,38.3737,26.1374,[D]e[met]rios,,D049,-200,-1,mystes
354,Chios Ins.,38.3737,26.1374,Angeles,,D049,-200,-1,mystes
312,Chios Ins.,38.3737,26.1374,Philo[xe]nos,,D049,-200,-1,mystes
127,Chios Ins.,38.3737,26.1374,Theodoros,Amyntou,D009,-200,-101,proxenos
381,Chios Ins.,38.3737,26.1374,Pouludamas,,D049,-200,-1,epoptai
365,Chios Ins.,38.3737,26.1374,MAN[…],,D049,-200,-1,mystes
386,Chios Ins.,38.3737,26.1374,Epigonos,,D049,-200,-1,epoptai
307,Chios Ins.,38.3737,26.1374,Apollonios,,D049,-200,-1,mystes
124,Chios Ins.,38.3737,26.1374,Dionysios,Dionysiou tou Dionysiou,D009,-200,-101,theoros
344,Chios Ins.,38.3737,26.1374,Stephanos,,D049,-200,-1,mystes
328,Chios Ins.,38.3737,26.1374,Metrodoros,,D049,-200,-1,mystes
252,Dardanos,40.0851,26.3647,Dionysios,Diodorou,D014,-66,-66,symmystai
249,Dardanos,40.0851,26.3647,Lysimenes,Apollonidou,D014,-66,-66,mystes
292,Dardanos,40.0851,26.3647,Homilos,akolouthos Pausanias,D015,-100,1,akolouthos
107,Dardanos,40.0851,26.3647,Aisimos,Hermogenou,D009,-200,-101,theoros
253,Dardanos,40.0851,26.3647,Menophantos,Philokratous,D014,-66,-66,symmystai
249,Dardanos,40.0851,26.3647,Lysimenes,Apollonidou,D014,-66,-66,theoros
165,Dardanos,40.0851,26.3647,[Me]nelaos,Antenoros,D013,-200,-1,proxenos
254,Dardanos,40.0851,26.3647,Artemidoros,Euemerou,D014,-66,-66,akolouthos
250,Dardanos,40.0851,26.3647,Apollodoros,Deinokleous,D014,-66,-66,mystes
165,Dardanos,40.0851,26.3647,[Me]nelaos,Antenoros,D013,-200,-1,theoros
289,Dardanos,40.0851,26.3647,Pausanias,Diphilou,D015,-100,1,theoros
106,Dardanos,40.0851,26.3647,[Z]opuros,Metrodorou,D009,-200,-101,proxenos
250,Dardanos,40.0851,26.3647,Apollodoros,Deinokleous,D014,-66,-66,theoros
166,Dardanos,40.0851,26.3647,Deiphilos,Meniou,D013,-200,-1,proxenos
290,Dardanos,40.0851,26.3647,Dionysios,Skopiou,D015,-100,1,theoros
106,Dardanos,40.0851,26.3647,[Z]opuros,Metrodorou,D009,-200,-101,theoros
